"Step","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-easy/reward/pass@1","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MIN","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MAX","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-easy/reward/pass@1","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MIN","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MAX","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-easy/reward/pass@1","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MIN","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MAX","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-easy/reward/pass@1","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MIN","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MAX","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-easy/reward/pass@1","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MIN","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MAX","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-easy/reward/pass@1","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MIN","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-easy/reward/pass@1__MAX"
"0","0.6171875","0.6171875","0.6171875","0.63232421875","0.63232421875","0.63232421875","0.62841796875","0.62841796875","0.62841796875","0.62841796875","0.62841796875","0.62841796875","0.6171875","0.6171875","0.6171875","0.63232421875","0.63232421875","0.63232421875"
"50","0.62939453125","0.62939453125","0.62939453125","0.78173828125","0.78173828125","0.78173828125","0.7900390625","0.78662109375","0.79345703125","0.7529296875","0.7529296875","0.7529296875","0.837890625","0.837890625","0.837890625","0.8330078125","0.8330078125","0.8330078125"
"100","0.6494140625","0.6494140625","0.6494140625","0.79736328125","0.79736328125","0.79736328125","0.875","0.875","0.875","0.8515625","0.8515625","0.8515625","0.8779296875","0.8779296875","0.8779296875","0.87353515625","0.87353515625","0.87353515625"
"150","0.6494140625","0.6494140625","0.6494140625","0.4912109375","0.4912109375","0.4912109375","0.89599609375","0.89599609375","0.89599609375","0.8955078125","0.8955078125","0.8955078125","0.89306640625","0.89306640625","0.89306640625","0.88818359375","0.88818359375","0.88818359375"
"200","0.64453125","0.64453125","0.64453125","0.4560546875","0.4560546875","0.4560546875","0.90869140625","0.90869140625","0.90869140625","0.8896484375","0.8896484375","0.8896484375","0.89013671875","0.89013671875","0.89013671875","0.89501953125","0.89501953125","0.89501953125"
"250","","","","0.44970703125","0.44970703125","0.44970703125","0.89697265625","0.89697265625","0.89697265625","0.89111328125","0.89111328125","0.89111328125","0.90283203125","0.90283203125","0.90283203125","0.9033203125","0.9033203125","0.9033203125"
"300","","","","0.44091796875","0.44091796875","0.44091796875","0.9052734375","0.9052734375","0.9052734375","0.888671875","0.888671875","0.888671875","0.89892578125","0.89892578125","0.89892578125","0.8984375","0.8984375","0.8984375"
"350","","","","0.4296875","0.4296875","0.4296875","0.90966796875","0.90966796875","0.90966796875","0.88671875","0.88671875","0.88671875","0.8994140625","0.8994140625","0.8994140625","0.904296875","0.904296875","0.904296875"
"400","","","","0.4189453125","0.4189453125","0.4189453125","0.91259765625","0.91259765625","0.91259765625","0.88232421875","0.88232421875","0.88232421875","0.90185546875","0.90185546875","0.90185546875","0.91259765625","0.91259765625","0.91259765625"
"450","","","","0.42041015625","0.42041015625","0.42041015625","0.8955078125","0.8955078125","0.8955078125","0.87353515625","0.87353515625","0.87353515625","0.908203125","0.908203125","0.908203125","0.9111328125","0.9111328125","0.9111328125"
"500","","","","0.40673828125","0.40673828125","0.40673828125","0.8935546875","0.8935546875","0.8935546875","0.8681640625","0.8681640625","0.8681640625","0.90771484375","0.90771484375","0.90771484375","0.91455078125","0.91455078125","0.91455078125"
"550","","","","0.39697265625","0.39697265625","0.39697265625","0.90234375","0.90234375","0.90234375","0.8671875","0.8671875","0.8671875","","","","0.9130859375","0.9130859375","0.9130859375"
"600","","","","0.38623046875","0.38623046875","0.38623046875","0.89990234375","0.89990234375","0.89990234375","0.81640625","0.81640625","0.81640625","","","","0.9189453125","0.9189453125","0.9189453125"
