"Step","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-hard/reward/pass@1","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MIN","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MAX","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-hard/reward/pass@1","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MIN","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MAX","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-hard/reward/pass@1","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MIN","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MAX","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-hard/reward/pass@1","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MIN","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MAX","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-hard/reward/pass@1","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MIN","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MAX","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-hard/reward/pass@1","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MIN","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-hard/reward/pass@1__MAX"
"0","0.04507042253521127","0.04507042253521127","0.04507042253521127","0.04346076458752515","0.04346076458752515","0.04346076458752515","0.0454728370221328","0.0454728370221328","0.0454728370221328","0.043058350100603625","0.043058350100603625","0.043058350100603625","0.04507042253521127","0.04507042253521127","0.04507042253521127","0.04346076458752515","0.04346076458752515","0.04346076458752515"
"50","0.04627766599597585","0.04627766599597585","0.04627766599597585","0.07967806841046278","0.07967806841046278","0.07967806841046278","0.07867203219315896","0.07645875251509054","0.08088531187122737","0.06559356136820925","0.06559356136820925","0.06559356136820925","0.11227364185110664","0.11227364185110664","0.11227364185110664","0.09738430583501007","0.09738430583501007","0.09738430583501007"
"100","0.04909456740442656","0.04909456740442656","0.04909456740442656","0.19356136820925554","0.19356136820925554","0.19356136820925554","0.14044265593561367","0.14044265593561367","0.14044265593561367","0.14004024144869215","0.14004024144869215","0.14004024144869215","0.16297786720321933","0.16297786720321933","0.16297786720321933","0.1488933601609658","0.1488933601609658","0.1488933601609658"
"150","0.04386317907444668","0.04386317907444668","0.04386317907444668","0.11106639839034205","0.11106639839034205","0.11106639839034205","0.20201207243460764","0.20201207243460764","0.20201207243460764","0.20643863179074445","0.20643863179074445","0.20643863179074445","0.20080482897384305","0.20080482897384305","0.20080482897384305","0.20080482897384305","0.20080482897384305","0.20080482897384305"
"200","0.05070422535211268","0.05070422535211268","0.05070422535211268","0.09818913480885312","0.09818913480885312","0.09818913480885312","0.23018108651911467","0.23018108651911467","0.23018108651911467","0.23822937625754528","0.23822937625754528","0.23822937625754528","0.22374245472837023","0.22374245472837023","0.22374245472837023","0.23661971830985915","0.23661971830985915","0.23661971830985915"
"250","","","","0.10503018108651911","0.10503018108651911","0.10503018108651911","0.25835010060362174","0.25835010060362174","0.25835010060362174","0.2688128772635815","0.2688128772635815","0.2688128772635815","0.22937625754527163","0.22937625754527163","0.22937625754527163","0.24466800804828973","0.24466800804828973","0.24466800804828973"
"300","","","","0.10261569416498995","0.10261569416498995","0.10261569416498995","0.25593561368209256","0.25593561368209256","0.25593561368209256","0.26398390342052314","0.26398390342052314","0.26398390342052314","0.2543259557344064","0.2543259557344064","0.2543259557344064","0.2398390342052314","0.2398390342052314","0.2398390342052314"
"350","","","","0.09537223340040242","0.09537223340040242","0.09537223340040242","0.27243460764587524","0.27243460764587524","0.27243460764587524","0.26398390342052314","0.26398390342052314","0.26398390342052314","0.25311871227364185","0.25311871227364185","0.25311871227364185","0.2599597585513079","0.2599597585513079","0.2599597585513079"
"400","","","","0.09456740442655935","0.09456740442655935","0.09456740442655935","0.2977867203219316","0.2977867203219316","0.2977867203219316","0.27645875251509056","0.27645875251509056","0.27645875251509056","0.24627766599597586","0.24627766599597586","0.24627766599597586","0.2812877263581489","0.2812877263581489","0.2812877263581489"
"450","","","","0.09416498993963783","0.09416498993963783","0.09416498993963783","0.2869215291750503","0.2869215291750503","0.2869215291750503","0.27605633802816903","0.27605633802816903","0.27605633802816903","0.26438631790744466","0.26438631790744466","0.26438631790744466","0.26720321931589536","0.26720321931589536","0.26720321931589536"
