"Step","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-medium/reward/pass@1","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MIN","Name: math-bootstrap-SFT-easy-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MAX","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-medium/reward/pass@1","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MIN","Name: math-bootstrap-GRPO-easy-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MAX","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-medium/reward/pass@1","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MIN","Name: math-onpolicy-PosNeg-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MAX","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-medium/reward/pass@1","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MIN","Name: math-onpolicy-SFT-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MAX","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-medium/reward/pass@1","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MIN","Name: math-onpolicy-Reinforce-Baseline-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MAX","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-medium/reward/pass@1","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MIN","Name: math-onpolicy-GRPO-Qwen3-1.7B - val-core/math-medium/reward/pass@1__MAX"
"0","0.10112359550561797","0.10112359550561797","0.10112359550561797","0.09428431851489985","0.09428431851489985","0.09428431851489985","0.09623839765510503","0.09623839765510503","0.09623839765510503","0.09526135808500244","0.09526135808500244","0.09526135808500244","0.10112359550561797","0.10112359550561797","0.10112359550561797","0.09428431851489985","0.09428431851489985","0.09428431851489985"
"50","0.10014655593551539","0.10014655593551539","0.10014655593551539","0.17342452369320957","0.17342452369320957","0.17342452369320957","0.17220322423058132","0.1719589643380557","0.17244748412310698","0.15144113336590131","0.15144113336590131","0.15144113336590131","0.20273571079628724","0.20273571079628724","0.20273571079628724","0.20322423058133854","0.20322423058133854","0.20322423058133854"
"100","0.10503175378602833","0.10503175378602833","0.10503175378602833","0.2677088422081094","0.2677088422081094","0.2677088422081094","0.2730825598436737","0.2730825598436737","0.2730825598436737","0.24963361016121152","0.24963361016121152","0.24963361016121152","0.27796775769418663","0.27796775769418663","0.27796775769418663","0.2716170004885198","0.2716170004885198","0.2716170004885198"
"150","0.10161211529066927","0.10161211529066927","0.10161211529066927","0.11773326819736199","0.11773326819736199","0.11773326819736199","0.3243771372740596","0.3243771372740596","0.3243771372740596","0.31753786028334147","0.31753786028334147","0.31753786028334147","0.3058133854421104","0.3058133854421104","0.3058133854421104","0.323400097703957","0.323400097703957","0.323400097703957"
"200","0.10258915486077186","0.10258915486077186","0.10258915486077186","0.09965803615046409","0.09965803615046409","0.09965803615046409","0.3424523693209575","0.3424523693209575","0.3424523693209575","0.35026868588177823","0.35026868588177823","0.35026868588177823","0.32828529555446995","0.32828529555446995","0.32828529555446995","0.34733756717147046","0.34733756717147046","0.34733756717147046"
"250","","","","0.10503175378602833","0.10503175378602833","0.10503175378602833","0.3619931607230093","0.3619931607230093","0.3619931607230093","0.35466536394723985","0.35466536394723985","0.35466536394723985","0.33707865168539325","0.33707865168539325","0.33707865168539325","0.3512457254518808","0.3512457254518808","0.3512457254518808"
"300","","","","0.10210063507572056","0.10210063507572056","0.10210063507572056","0.3629702002931119","0.3629702002931119","0.3629702002931119","0.35661944308744503","0.35661944308744503","0.35661944308744503","0.3488031265266243","0.3488031265266243","0.3488031265266243","0.3639472398632145","0.3639472398632145","0.3639472398632145"
"350","","","","0.10405471421592574","0.10405471421592574","0.10405471421592574","0.3702979970688813","0.3702979970688813","0.3702979970688813","0.37322911577918905","0.37322911577918905","0.37322911577918905","0.3683439179286761","0.3683439179286761","0.3683439179286761","0.3727405959941378","0.3727405959941378","0.3727405959941378"
"400","","","","0.10161211529066927","0.10161211529066927","0.10161211529066927","0.3805569125549585","0.3805569125549585","0.3805569125549585","0.37567171470444555","0.37567171470444555","0.37567171470444555","0.3488031265266243","0.3488031265266243","0.3488031265266243","0.38104543234000976","0.38104543234000976","0.38104543234000976"
"450","","","","0.10649731314118221","0.10649731314118221","0.10649731314118221","0.39521250610649733","0.39521250610649733","0.39521250610649733","0.3663898387884709","0.3663898387884709","0.3663898387884709","0.37664875427454814","0.37664875427454814","0.37664875427454814","0.3903273082559844","0.3903273082559844","0.3903273082559844"
"500","","","","0.10210063507572056","0.10210063507572056","0.10210063507572056","0.3859306301905227","0.3859306301905227","0.3859306301905227","0.3595505617977528","0.3595505617977528","0.3595505617977528","0.37469467513434296","0.37469467513434296","0.37469467513434296","0.3751831949193942","0.3751831949193942","0.3751831949193942"
"550","","","","0.09428431851489985","0.09428431851489985","0.09428431851489985","0.39081582804103565","0.39081582804103565","0.39081582804103565","0.3693209574987787","0.3693209574987787","0.3693209574987787","","","","0.38251099169516367","0.38251099169516367","0.38251099169516367"
"600","","","","0.09233023937469467","0.09233023937469467","0.09233023937469467","0.39960918417195895","0.39960918417195895","0.39960918417195895","0.3497801660967269","0.3497801660967269","0.3497801660967269","","","","0.391304347826087","0.391304347826087","0.391304347826087"
"650","","","","0.09721543722520762","0.09721543722520762","0.09721543722520762","0.3981436248168051","0.3981436248168051","0.3981436248168051","0.29115779189057156","0.29115779189057156","0.29115779189057156","","","","0.391304347826087","0.391304347826087","0.391304347826087"
"660","","","","0.09526135808500244","0.09526135808500244","0.09526135808500244","","","","","","","","","","","",""
"700","","","","","","","0.40400586223742063","0.40400586223742063","0.40400586223742063","0.2642892037127504","0.2642892037127504","0.2642892037127504","","","","0.38251099169516367","0.38251099169516367","0.38251099169516367"
"750","","","","","","","0.4064484611626771","0.4064484611626771","0.4064484611626771","0.06399609184171959","0.06399609184171959","0.06399609184171959","","","","0.40156326331216413","0.40156326331216413","0.40156326331216413"
"800","","","","","","","0.3903273082559844","0.3903273082559844","0.3903273082559844","0.06497313141182218","0.06497313141182218","0.06497313141182218","","","","0.40156326331216413","0.40156326331216413","0.40156326331216413"
"850","","","","","","","0.37127503663898387","0.37127503663898387","0.37127503663898387","0.06790425012212994","0.06790425012212994","0.06790425012212994","","","","0.39960918417195895","0.39960918417195895","0.39960918417195895"
"900","","","","","","","0.4044943820224719","0.4044943820224719","0.4044943820224719","0.07962872496336101","0.07962872496336101","0.07962872496336101","","","","0.4147532975085491","0.4147532975085491","0.4147532975085491"
"950","","","","","","","0.41621885686370297","0.41621885686370297","0.41621885686370297","0.06985832926233512","0.06985832926233512","0.06985832926233512","","","","0.4157303370786517","0.4157303370786517","0.4157303370786517"
"1000","","","","","","","0.407914020517831","0.407914020517831","0.407914020517831","0.06692721055202736","0.06692721055202736","0.06692721055202736","","","","0.41963849535906206","0.41963849535906206","0.41963849535906206"
"1050","","","","","","","0.4238723334961732","0.41621885686370297","0.42843185148998536","0.07474352711284807","0.07474352711284807","0.07474352711284807","","","","0.41963849535906206","0.41963849535906206","0.41963849535906206"
"1100","","","","","","","0.4142647777234978","0.4142647777234978","0.4142647777234978","0.07816316560820713","0.07816316560820713","0.07816316560820713","","","","0.42794333170493404","0.42794333170493404","0.42794333170493404"
"1150","","","","","","","0.4333170493404983","0.4333170493404983","0.4333170493404983","0.07767464582315584","0.07767464582315584","0.07767464582315584","","","","0.4264777723497802","0.4264777723497802","0.4264777723497802"
"1200","","","","","","","0.40107474352711286","0.40107474352711286","0.40107474352711286","","","","","","","0.4255007327796776","0.4255007327796776","0.4255007327796776"
"1250","","","","","","","0.40058622374206154","0.40058622374206154","0.40058622374206154","","","","","","","0.4088910600879336","0.4088910600879336","0.4088910600879336"
"1300","","","","","","","0.407914020517831","0.407914020517831","0.407914020517831","","","","","","","0.4220810942843185","0.4220810942843185","0.4220810942843185"
"1350","","","","","","","0.41719589643380556","0.41719589643380556","0.41719589643380556","","","","","","","0.4313629702002931","0.4313629702002931","0.4313629702002931"
"1400","","","","","","","0.4147532975085491","0.4147532975085491","0.4147532975085491","","","","","","","0.42940889106008795","0.42940889106008795","0.42940889106008795"
"1450","","","","","","","0.4137762579384465","0.4137762579384465","0.4137762579384465","","","","","","","0.4386907669760625","0.4386907669760625","0.4386907669760625"
"1500","","","","","","","0.40302882266731804","0.40302882266731804","0.40302882266731804","","","","","","","0.441133365901319","0.441133365901319","0.441133365901319"
"1550","","","","","","","0.4152418172936004","0.4152418172936004","0.4152418172936004","","","","","","","0.44650708353688323","0.44650708353688323","0.44650708353688323"
"1600","","","","","","","0.4132877381533952","0.4132877381533952","0.4132877381533952","","","","","","","0.45530043966780653","0.45530043966780653","0.45530043966780653"
"1650","","","","","","","0.4176844162188569","0.4176844162188569","0.4176844162188569","","","","","","","0.4308744504152418","0.4308744504152418","0.4308744504152418"
"1700","","","","","","","0.4025403028822667","0.4025403028822667","0.4025403028822667","","","","","","","0.4528578407425501","0.4528578407425501","0.4528578407425501"
"1750","","","","","","","0.4225696140693698","0.4225696140693698","0.4225696140693698","","","","","","","0.43722520762090866","0.43722520762090866","0.43722520762090866"
"1800","","","","","","","0.41279921836834393","0.41279921836834393","0.41279921836834393","","","","","","","0.4318514899853444","0.4318514899853444","0.4318514899853444"
"1850","","","","","","","","","","","","","","","","0.4406448461162677","0.4406448461162677","0.4406448461162677"
