step,avg_len,avg_score,n
100,1125.2666015625,0.1201171875,2048
200,1441.1533203125,0.115234375,2048
300,1597.37841796875,0.11962890625,2048
400,2069.48095703125,0.1201171875,2048
500,2421.6845703125,0.11767578125,2048
600,3427.07080078125,0.08837890625,2048
